No.,Object name,Material,Stained,Surface properties
1,Christmas bear,Cloth,Pluriform,
2,Lab-keys,"Metal, cloth",,"Composite, shiny"
3,Apricot,Fruit,Uniform,
4,Round candle,"Candle, metal",,"Composite, shiny"
5,Nut,Wood,Uniform,Ribbed
6,Pot,Pottery,Uniform,Smooth
7,Shell,Shell,Uniform,Rough
8,Green box,Plastic,Uniform,
9,Shoe,"Cloth, plastic",Pluriform,composite
10,Women statue,Stone,Pluriform,
11,Mexx parfum,"Metal, glass",Pluriform,composite
12,Labello lip gloss,Plastic,Pluriform,
13,Matchbox,paper,Pluriform,
14,Baby cream tube,Plastic,Pluriform,
15,Yellow bear,Cloth,Pluriform,
16,Red block,Wood,Uniform,
17,Red onion,Vegetable,,Composite
18,Apple teabags,Paper,Pluriform,
19,Green block,Wood,Uniform,Smooth
20,Copper,metal,uniform,"rough, shiny"
21,Measure lint,"plastic, metal",pluriform,composite
22,Boeddha,metal,uniform,
23,Blue bear,cloth,pluriform,
24,Yellow box,plastic,uniform,
25,Colorful toysquare,plastic,pluriform,
26,Optic lampbox,paper,pluriform,
27,Aa lava,Stone,Uniform,rough
28,GJ’s watch,"cloth, plastic, metal",uniform,composite
29,Chocolate box,paper,pluriform,
30,metal bowl,metal,pluriform,shiny
31,yellow bear,cloth,uniform,coarse
32,Brown bear,cloth,uniform,coarse
33,Chess horse,wood,uniform,smooth
34,Tea light,"iron, candle",uniform,composite
35,White bowl,glass,uniform,ribbed
36,child cup,plastic,pluriform,
37,Vitamin pills,"glass, paper, plastic",pluriform,composite
38,Hairy head,cloth,pluriform,rough
39,Bottle gin,"glass, paper, metal",pluriform,"composite, shiny"
40,Light bulb,"glass, metal",uniform,"composite, shiny"
41,Glass pot,glass,uniform,"shiny, rough"
42,Three keys,metal,pluriform,shiny
43,Alarm clock,"metal, glass",uniform,"composite, shiny"
44,Koala keyhanger,"metal, plastic, cloth",pluriform,composite
45,Yellow candle,candle,uniform,
46,Blue teabagsbox,paper,pluriform,
47,Brown plastic cup,plastic,pluriform,ribbed
48,caned basked,cane,uniform,
49,pink bow,plastic,uniform,shiny
50,nut,wood,uniform,ribbed
51,cork,wood,uniform,
52,hairy ball,fruit,uniform,rough
53,tape,plastic,pluriform,
54,racing car,plastic,pluriform,
55,halter toy,plastic,pluriform,shiny
56,metal sticks,"metal, stone",uniform,composite
57,acorn,wood,uniform,coarse
58,blue car,wood,pluriform,smooth
59,blue cell phone,metal,pluriform,
60,Cosmetics,Plastic,Pluriform,shiny
61,Red box,Plastic,Pluriform,shiny
62,yellow duck,plastic,pluriform,
63,yellow sponge,sponge,uniform,
64,pink sponge,sponge,uniform,
65,blue sponge,sponge,uniform,
66,Shampoo,Plastic,Pluriform,shiny
67,red lady bird,plastic,pluriform,
68,blue lady bird,plastic,pluriform,
69,tomato,fruit,uniform,"composite, shiny"
70,Grey stone,stone,pluriform,coarse
71,Yellow wire,rope,uniform,shiny
72,Red/white wire,rope,pluriform,
73,Blue cup,plastic,pluriform,
74,Vaseline,"plastic, paper",pluriform,composite
75,Boat,"wood, rope",pluriform,composite
76,angular object,wood,pluriform,smooth
77,histor paint,metal,pluriform,
78,tea box,metal,pluriform,
79,wooden dog,wood,uniform,
80,green sponge,sponge,pluriform,
81,Travel clock,Metal,Pluriform,shiny
82,Apple,fruit,pluriform,
83,triangle figure,wood,uniform,
84,grey/white stone,stone,pluriform,caurse
85,Colorful toysquare,plastic,pluriform,
86,socks,cloth,pluriform,
87,double triangle figure,wood,uniform,
88,red jar,plastic,pluriform,
89,white tube,plastic,pluriform,
90,smiling duck,plastic,pluriform,shiny
91,colorful stone,plastic,pluriform,
92,autan stick,plastic,pluriform,
93,black shoe,"cloth, plastic, rope",uniform,composite
94,kitkat bar,paper,pluriform,
95,wooden glue,"plastic, paper",pluriform,composite
96,gold wire,"rope, plastic",uniform,"composite, shiny"
97,Thee container,Metal,Uniform,shiny
98,Teat,plastic,pluriform,
99,Brown/white jar,"glas, metal, paper",pluriform,composite
100,Kleenex tissues,plastic,pluriform,
101,Card game,paper,pluriform,
102,Kiwi,fruit,uniform,caurse
103,Ajax ball,plastic,pluriform,
104,Metal alarm,"metal, plastic",pluriform,"composite, shiny"
105,Blue/black tube,"plastic, paper",pluriform,
106,Box,plastic,pluriform,shiny
107,Party fluit,paper,pluriform,
108,Drums,wood,pluriform,
109,White/black tube,plastic,pluriform,
110,Wooden teabox,wood,pluriform,
111,Salt,plastic,pluriform,
112,Yellow box,plastic,pluriform,
113,White shoe,"cloth, plastic",uniform,composite
114,Wooden hand,wood,uniform,
115,Small chess piece,wood,uniform,
116,Donkey,cloth,pluriform,
